kap_num,kap_name,org,last,rozp,upraveny,skutecnost,plneni,rozdil,index,year,type,indicator
375,SÚJB,Státní úřad pro jadernou bezpečnost,195,218,218,197.19,90.45412844036697,-20.810000000000002,101.12307692307692,2018,ST.SPRÁVA,count
376,GIBS,Generální inspekce bezpečnostních sborů,0,0,0,0,0,0,0,2018,ST.SPRÁVA,count
377,TA ČR,Technologická agentura ČR,0,0,0,0,0,0,0,2018,ST.SPRÁVA,count
378,NA,Národní úřad pro kybernetickou a informační bezpečnost,53,177,184.5,169.06,91.63143631436314,-15.439999999999998,318.9811320754717,2018,ST.SPRÁVA,count
381,NKÚ,Nejvyšší kontrolní úřad,0,0,0,0,0,0,0,2018,ST.SPRÁVA,count
C E L K E M,NA,NA,158069.625,169330.43,169471.08,159779.20000000004,94.28110094064431,-9691.879999999946,101.08153290045449,2018,ST.SPRÁVA,count
301,KPR,Kancelář prezidenta republiky,0,0,0,0,0,0,0,2017,ST.SPRÁVA,count
302,Kparl,Poslanecká sněmovna Parlamentu,0,0,0,0,0,0,0,2017,ST.SPRÁVA,count
303,Ksen,Senát Parlamentu,0,0,0,0,0,0,0,2017,ST.SPRÁVA,count
304,ÚV,Úřad vlády ČR,621,768.2,768.2,673,87.6073939078365,-95.20000000000005,108.37359098228663,2017,ST.SPRÁVA,count
306,MZV,Ministerstvo zahraničních věcí,1775,1979,1983.83,1797,90.58235836740045,-186.82999999999993,101.2394366197183,2017,ST.SPRÁVA,count
307,MO,Ministerstvo obrany,2096,2393,2392,2183,91.26254180602007,-209,104.15076335877862,2017,ST.SPRÁVA,count
308,NBÚ,Národní bezpečnostní úřad,312,352,330.91,295,89.1481067359705,-35.910000000000025,94.55128205128204,2017,ST.SPRÁVA,count
309,KVOP,Kancelář veřejného ochránce práv,0,0,0,0,0,0,0,2017,ST.SPRÁVA,count
312,MF,Ministerstvo financí,22085,24241,24241,22364,92.25692009405553,-1877,101.26330088295224,2017,ST.SPRÁVA,count
313,MPSV,Ministerstvo práce a sociálních věcí,21212,23069.77,23069.77,21734,94.20986858559924,-1335.7700000000004,102.4608712049783,2017,ST.SPRÁVA,count
314,MV,Ministerstvo vnitra,63136,65981.56,66063.8,63350,95.89215273720252,-2713.800000000003,100.33895083628992,2017,ST.SPRÁVA,count
315,MŽP,Ministerstvo životního prostředí,1145,1259.5,1262.42,1157,91.64937184138401,-105.42000000000007,101.0480349344978,2017,ST.SPRÁVA,count
317,MMR,Ministerstvo pro místní rozvoj,613,775,775,649,83.74193548387096,-126,105.87275693311582,2017,ST.SPRÁVA,count
321,GA,Grantová agentura ČR,0,0,0,0,0,0,0,2017,ST.SPRÁVA,count
322,MPO,Ministerstvo průmyslu a obchodu,1534,1778,1780.75,1553,87.21044503720343,-227.75,101.23859191655802,2017,ST.SPRÁVA,count
327,MDS,Ministerstvo dopravy,807,925.6,926,813.21,87.81965442764579,-112.78999999999996,100.76951672862452,2017,ST.SPRÁVA,count
328,ČTÚ,Český telekomunikační úřad,601,633,637.62,583.92,91.57805589536086,-53.700000000000045,97.15806988352745,2017,ST.SPRÁVA,count
329,MZe,Ministerstvo zemědělství,5070,5258,5260.25,5006.4349999999995,95.17484910413002,-253.8150000000005,98.74625246548322,2017,ST.SPRÁVA,count
333,MŠMT,"Ministerstvo školství, mládeže a tělovýchovy",1336,1508,1512.38,1358,89.79224798000502,-154.3800000000001,101.64670658682635,2017,ST.SPRÁVA,count
334,MK,Ministerstvo kultury,264.2164,296,296,271,91.55405405405406,-25,102.56744093099444,2017,ST.SPRÁVA,count
335,Mzdr,Ministerstvo zdravotnictví,2864,3023.9,3024,2898,95.83333333333334,-126,101.18715083798884,2017,ST.SPRÁVA,count
336,Mspr,Ministerstvo spravedlnosti,23157,24792.75,24794.08,23367.67,94.24697347108663,-1426.4100000000035,100.90974651293345,2017,ST.SPRÁVA,count
343,ÚOOÚ,Úřad pro ochranu osobních údajů,100,109,109,99,90.82568807339449,-10,99,2017,ST.SPRÁVA,count
344,ÚPV,Úřad průmyslového vlastnictví,208,229,229,205,89.51965065502183,-24,98.5576923076923,2017,ST.SPRÁVA,count
345,ČSÚ,Český statistický úřad,1302,1390,1390,1288.99,92.73309352517985,-101.00999999999999,99.00076804915514,2017,ST.SPRÁVA,count
346,ČÚZK,Český úřad zeměměřický a katastrální,4995,5230,5230,4963,94.89483747609943,-267,99.35935935935936,2017,ST.SPRÁVA,count
348,ČBÚ,Český báňský úřad,183,194,194,186,95.87628865979381,-8,101.63934426229508,2017,ST.SPRÁVA,count
349,ERÚ,Energetický regulační úřad,247,311.25,311.25,262,84.17670682730923,-49.25,106.07287449392713,2017,ST.SPRÁVA,count
353,ÚOHS,Úřad pro ochranu hospodářské soutěže,225,259,261.5,225,86.04206500956023,-36.5,100,2017,ST.SPRÁVA,count
355,ÚSTR,Ústav pro studium totalitních režimů,145,157,157,142,90.44585987261146,-15,97.93103448275862,2017,ST.SPRÁVA,count
358,ÚS,Ústavní soud,0,0,0,0,0,0,0,2017,ST.SPRÁVA,count
359,NA,Úřad národní rozpočtové rady,0,0,0,0,0,0,0,2017,ST.SPRÁVA,count
361,AV,Akademie věd ČR,0,0,0,0,0,0,0,2017,ST.SPRÁVA,count
371,NA,Úřad pro dohled nad hospodařením politických stran a politických hnutí,0,0,16,9.01,56.3125,-6.99,0,2017,ST.SPRÁVA,count
372,RRTV,Rada pro rozhlasové a televizní vysílání,41,45,45,41,91.11111111111111,-4,100,2017,ST.SPRÁVA,count
373,NA,Úřad pro přístup k dopravní infrastruktuře,0,0,11.67,4.390000000000001,37.617823479006,-7.279999999999999,0,2017,ST.SPRÁVA,count
374,SSHR,Správa státních hmotných rezerv,338,378,378,343,90.74074074074075,-35,101.4792899408284,2017,ST.SPRÁVA,count
375,SÚJB,Státní úřad pro jadernou bezpečnost,199,218,218,195,89.44954128440367,-23,97.98994974874373,2017,ST.SPRÁVA,count
376,GIBS,Generální inspekce bezpečnostních sborů,0,0,0,0,0,0,0,2017,ST.SPRÁVA,count
377,TA ČR,Technologická agentura ČR,0,0,0,0,0,0,0,2017,ST.SPRÁVA,count
378,NA,Národní úřad pro kybernetickou a informační bezpečnost,0,0,53.75,53,98.6046511627907,-0.75,0,2017,ST.SPRÁVA,count
381,NKÚ,Nejvyšší kontrolní úřad,0,0,0,0,0,0,0,2017,ST.SPRÁVA,count
C E L K E M,NA,NA,156611.2164,167554.53,167722.18000000002,158069.625,94.24491441740143,-9652.555000000022,100.93122870348894,2017,ST.SPRÁVA,count
301,KPR,Kancelář prezidenta republiky,0,0,0,0,0,0,0,2016,ST.SPRÁVA,count
302,Kparl,Poslanecká sněmovna Parlamentu,0,0,0,0,0,0,0,2016,ST.SPRÁVA,count
303,Ksen,Senát Parlamentu,0,0,0,0,0,0,0,2016,ST.SPRÁVA,count
304,ÚV,Úřad vlády ČR,555,692,730,621,85.06849315068493,-109,111.89189189189189,2016,ST.SPRÁVA,count
306,MZV,Ministerstvo zahraničních věcí,1762,1928,1950,1775,91.02564102564102,-175,100.7377979568672,2016,ST.SPRÁVA,count
307,MO,Ministerstvo obrany,2098,2214,2232,2096,93.9068100358423,-136,99.90467111534795,2016,ST.SPRÁVA,count
308,NBÚ,Národní bezpečnostní úřad,303,324,333,312,93.69369369369369,-21,102.97029702970298,2016,ST.SPRÁVA,count
309,KVOP,Kancelář veřejného ochránce práv,0,0,0,0,0,0,0,2016,ST.SPRÁVA,count
312,MF,Ministerstvo financí,22110,23648,23648,22085,93.39056156968877,-1563,99.88692899140659,2016,ST.SPRÁVA,count
313,MPSV,Ministerstvo práce a sociálních věcí,21715,22324,22493,21212,94.30489485617748,-1281,97.68362882799909,2016,ST.SPRÁVA,count
314,MV,Ministerstvo vnitra,62238,65428,65823,63136,95.91784026859912,-2687,101.44284842057907,2016,ST.SPRÁVA,count
315,MŽP,Ministerstvo životního prostředí,1165,1249,1249,1145,91.67333867093676,-104,98.28326180257511,2016,ST.SPRÁVA,count
317,MMR,Ministerstvo pro místní rozvoj,613,716,737,613,83.17503392130257,-124,100,2016,ST.SPRÁVA,count
321,GA,Grantová agentura ČR,0,0,0,0,0,0,0,2016,ST.SPRÁVA,count
322,MPO,Ministerstvo průmyslu a obchodu,1531,1747,1763,1534,87.01077708451504,-229,100.19595035924233,2016,ST.SPRÁVA,count
327,MDS,Ministerstvo dopravy,826,891,905,807,89.17127071823204,-98,97.6997578692494,2016,ST.SPRÁVA,count
328,ČTÚ,Český telekomunikační úřad,612,633,633,601,94.94470774091627,-32,98.20261437908496,2016,ST.SPRÁVA,count
329,MZe,Ministerstvo zemědělství,5060,5286,5304,5070,95.58823529411765,-234,100.19762845849802,2016,ST.SPRÁVA,count
333,MŠMT,"Ministerstvo školství, mládeže a tělovýchovy",1411,1448,1455,1336,91.8213058419244,-119,94.68462083628633,2016,ST.SPRÁVA,count
334,MK,Ministerstvo kultury,262,270,273,264.2164,96.78256410256411,-8.783599999999979,100.8459541984733,2016,ST.SPRÁVA,count
335,Mzdr,Ministerstvo zdravotnictví,2896,2961,2963,2864,96.65879176510293,-99,98.89502762430939,2016,ST.SPRÁVA,count
336,Mspr,Ministerstvo spravedlnosti,22702,24383,24381,23157,94.9796973052787,-1224,102.00422870231698,2016,ST.SPRÁVA,count
343,ÚOOÚ,Úřad pro ochranu osobních údajů,0,0,0,0,0,0,0,2016,ST.SPRÁVA,count
344,ÚPV,Úřad průmyslového vlastnictví,214,224,224,208,92.85714285714286,-16,97.19626168224299,2016,ST.SPRÁVA,count
345,ČSÚ,Český statistický úřad,1339,1390,1390,1302,93.66906474820144,-88,97.23674383868558,2016,ST.SPRÁVA,count
346,ČÚZK,Český úřad zeměměřický a katastrální,5062,5230,5230,4995,95.50669216061185,-235,98.67641248518372,2016,ST.SPRÁVA,count
348,ČBÚ,Český báňský úřad,187,194,194,183,94.3298969072165,-11,97.86096256684492,2016,ST.SPRÁVA,count
349,ERÚ,Energetický regulační úřad,239,294,294,247,84.01360544217688,-47,103.34728033472804,2016,ST.SPRÁVA,count
353,ÚOHS,Úřad pro ochranu hospodářské soutěže,235,251,258,225,87.20930232558139,-33,95.74468085106383,2016,ST.SPRÁVA,count
355,ÚSTR,Ústav pro studium totalitních režimů,145,157,157,145,92.35668789808918,-12,100,2016,ST.SPRÁVA,count
358,ÚS,Ústavní soud,122,127,127,123,96.8503937007874,-4,100.81967213114753,2016,ST.SPRÁVA,count
361,AV,Akademie věd ČR,0,0,0,0,0,0,0,2016,ST.SPRÁVA,count
372,RRTV,Rada pro rozhlasové a televizní vysílání,42,45,45,41,91.11111111111111,-4,97.61904761904762,2016,ST.SPRÁVA,count
374,SSHR,Správa státních hmotných rezerv,338,369,377,338,89.65517241379311,-39,100,2016,ST.SPRÁVA,count
375,SÚJB,Státní úřad pro jadernou bezpečnost,207,214,214,199,92.99065420560748,-15,96.1352657004831,2016,ST.SPRÁVA,count
376,GIBS,Generální inspekce bezpečnostních sborů,0,0,0,0,0,0,0,2016,ST.SPRÁVA,count
377,TA ČR,Technologická agentura ČR,0,0,0,0,0,0,0,2016,ST.SPRÁVA,count
381,NKÚ,Nejvyšší kontrolní úřad,0,0,0,0,0,0,0,2016,ST.SPRÁVA,count
