"Year","grp","sgrp","variable","value","value_base","diff_base","perc_base","Inflation","Infl2003Base","Infl2013Base","Infl2012Base","czsal_all","czsal_podnik","czsal_nepodnik","czsal_all_2003","czsal_podnik_2003","czsal_nepodnik_2003","phasal_all","phasal_all_2003","realchange","promenna","udaj","zmena","exekutiva","UO"
2003-01-01,"UO - Ostatní",FALSE,"PlatyOPPP_upr2skut",1.0113897048096,1.0113897048096,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","upr2skut",TRUE,TRUE,TRUE
2003-01-01,"UO - Ministerstva",FALSE,"OPPP_uprMinusskut",5130.25999999999,5130.25999999999,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","uprMinusskut",TRUE,TRUE,TRUE
2003-01-01,"UO",TRUE,"AvgSal_skutecnost",24877.1752674695,24877.1752674695,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","skutecnost",FALSE,FALSE,FALSE
2003-01-01,"SOBCPO",FALSE,"PlatyOPPP_upraveny",29439753,29439753,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","upraveny",FALSE,FALSE,FALSE
2003-01-01,"ROPO celkem",TRUE,"Platy_schvaleny",100884490,100884490,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","schvaleny",FALSE,FALSE,FALSE
2003-01-01,"PO",FALSE,"AvgSal_upr2skut",0.954683613307031,0.954683613307031,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","upr2skut",TRUE,FALSE,FALSE
2003-01-01,"OSS-RO",TRUE,"PlatyOPPP_uprMinusskut",397560.160000004,397560.160000004,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","uprMinusskut",TRUE,FALSE,FALSE
2003-01-01,"OOSS",FALSE,"Platy_skutecnost",12267370.07,12267370.07,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","skutecnost",FALSE,FALSE,FALSE
2003-01-01,"Exekutiva",TRUE,"AvgSal_upraveny",19429.470721712,19429.470721712,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","upraveny",FALSE,FALSE,FALSE
2003-01-01,"PO",FALSE,"OPPP_skutecnost",911465.69,911465.69,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","skutecnost",FALSE,FALSE,FALSE
