Min,Plat,Pozice,Note
MF,191,N,
MF,128,VRS,
MF,115,RO,
MF,113,VRS,
MF,112,N,
MF,110,N,
MF,108,N,
MF,104,RO,
MK,344,N,
MK,206,N,
MK,194,N,
MK,95,N,
MK,92,N,
MK,92,N,
MK,86,PM,
MK,86,RU,reditel uradu
MPSV,165,N,
MPSV,140,VR,
MPSV,130,N,
MPSV,125,VR,
MPSV,124,N,
MPSV,103,VR,
MPSV,99,RO,
MPSV,97,N,
MV,263,N,
MV,234,VR,
MV,175,N,
MV,172,N,
MV,161,VR,
MV,136,RO,
MV,135,N,
MV,128,N,
ÚV,236,RU,
ÚV,140,NRU,
ÚV,124,NRU,
ÚV,103,NRU,
ÚV,194,NRU,
ÚV,95,NRU,
ÚV,153,VRS,
ÚV,72,VRS,
