source,target,weights
Veřejný sektor,Veřejné nefinanční podniky,307
Veřejný sektor,Veřejné finanční podniky,2
Veřejný sektor,Vládní instituce,627
Vládní instituce,Ústřední,268.4
Vládní instituce,Místní,352.4
Vládní instituce,Fondy soc. Zabezpečení,6.2
